地区,センター,燃やせる,古紙類（地区指定場所）,古紙類（指定場所以外）,不燃・有害,資源・古着
大東 光,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 上町,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 中町,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 本町,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 西本町,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 北町,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 越戸,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 古城,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 織部,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
大東 東町,UES,月 木,20170402 20170430 20170604 20170702 20170730 20170903 20171001 20171029 20171203 20180107 20180204 20180304,20170405 20170503 20170607 20170705 20170802 20170906 20171004 20171101 20171206 20180110 20180207 20180307,20170411 20170512 20170613 20170711 20170810 20170911 20171012 20171113 20171211 20180115 20180209 20180312,20170420 20170523 20170622 20170724 20170822 20170921 20171024 20171121 20171219 20180123 20180220 20180320
